Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"montero cruz, sergio adrian",27,7,3,1,6,3,UCOL-1158,2009,16,15,False,True,0.14285714285714285,2.0,17.883167,-11.699321
"montero vazquez, erick francisco",7,1,1,0,1,1,UCOL-1159,2008,17,15,False,False,0.0,2.0,40.441315,-27.526438
"montero, sergio",155,15,8,7,8,5,UCOL-1160,1996,29,25,True,True,0.4666666666666667,2.0,29.899792,-4.9419336
"montes galindo, daniel",117,13,12,5,8,8,UCOL-1162,2011,14,10,True,True,0.38461538461538464,2.0,10.002452,-7.3732696
"montoya del corte, javier",1,1,1,0,1,1,UCOL-1167,2012,13,10,False,False,0.0,2.0,13.650412,-40.89764
"montoya fuentes, hector",126,5,4,1,4,1,UCOL-1168,2007,18,15,True,False,0.2,2.0,18.735231,-8.792727
"mora brambila, ana bertha",18,8,6,0,8,4,UCOL-1171,2006,19,15,False,True,0.0,2.0,30.684538,-18.532263
"morales blake, alejandro",150,11,10,4,7,7,UCOL-1174,2007,18,15,True,True,0.36363636363636365,2.0,21.037458,-3.1546736
"morin sanchez, luis",48,3,2,0,3,2,UCOL-1190,2009,16,15,False,False,0.0,2.0,30.83412,-32.863617
"mornet, dominique",7,3,3,1,2,3,UCOL-1191,2009,16,15,False,False,0.3333333333333333,2.0,14.711856,-7.465229
"moy lopez, norma angelica",125,14,13,4,10,10,UCOL-1194,2008,17,15,True,True,0.2857142857142857,2.0,24.974949,-1.5317056
"muhlia melo, arturo",41,2,2,0,2,2,UCOL-1195,2005,20,20,False,False,0.0,2.0,34.921204,-16.228998
"muniz murguia, . jesus",179,6,6,0,6,5,UCOL-1196,2004,21,20,True,True,0.0,2.0,30.240887,-14.184693
"muniz,",363,30,22,14,16,12,UCOL-1199,1996,29,25,True,True,0.4666666666666667,2.0,32.223804,-1.5556561
"murillo piedrahita, andres felipe",28,1,1,0,1,1,UCOL-1203,2013,12,10,False,False,0.0,2.0,5.5987725,-38.23596
"nadal medina, rocio",5,1,1,0,1,1,UCOL-1205,2009,16,15,False,False,0.0,2.0,33.16685,-35.247185
"nashiki, antonio gomez",35,3,2,0,3,2,UCOL-1207,2013,12,10,False,False,0.0,2.0,6.746824,-36.054913
"natsuume,",63,3,2,1,2,2,UCOL-1208,2006,19,15,True,False,0.3333333333333333,2.0,17.208391,-6.5244865
"nava, arnulfo",48,14,12,7,7,8,UCOL-1211,2009,16,15,False,True,0.5,2.0,18.075876,5.7260857
"navarro ochoa, carlos",453,16,8,11,5,7,UCOL-1215,2002,23,20,True,True,0.6875,2.0,24.450268,5.6335196
"navarro, carlos",555,15,6,9,6,6,UCOL-1217,1995,30,30,True,True,0.6,2.0,31.93552,-4.495053
"negrete lopez, laura edith",0,1,1,0,1,1,UCOL-1221,2013,12,10,False,False,0.0,2.0,6.7493134,-40.174877
"newton sanchez, oscar alberto",258,29,27,6,23,21,UCOL-1223,2005,20,20,True,True,0.20689655172413793,2.0,31.73459,3.3616517
"ochoa gomez, raul",21,1,1,0,1,1,UCOL-1238,2011,14,10,False,False,0.0,2.0,21.306072,-39.201954
